scid,context,doc_name,doc_context,rcid
6,"以修改后的新口令登陆系统，看是否可以正常登入。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（6）本细则所称系统重启、数据清理及系统用户变更主要是指操作系统、数据库、中间件、应用系统的重启，数据清理等对生产系统运行状态产生影响的操作，以及操作系统用户的建立、删除、用户权限及口令修改等操作。",2744
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.4.9总行及已部署数据库操作和运维操作审计系统的分行应通过数据库操作和运维操作审计系统进行生产数据非计划性修改，不得直接登录系统后台进行操作。",1639
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.4.6修改数据操作所用终端不得同时登陆到多个系统打开多个窗口。",1636
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（2）生产数据非计划性修改如涉及以下特殊情况，对总行管理的系统进行生产数据非计划性修改，由总行经办业务部门起草签报，会签内控合规部门、操作风险管理部门，对数据修改的合规性进行审核，报分管行领导审批通过后，作为数据修改申请的附件提交总行信息技术部门负责生产运行的室。对分行管理的系统进行生产数据非计划性修改，由分行经办业务部门起草签报，会签分行内控合规部门，对数据修改的合规性进行审核，报分管行领导审批通过后，作为数据修改申请的附件提交分行信息技术部门。签报至少包括修改原因、修改内容及外部影响等详细内容。",1613
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（1）总行端数据修改技术方案由科技开发部门负责系统应用维护的室负责人、部门分管负责人，信息技术部门负责科技安全的室负责人等进行审核。审核通过后提交信息技术部门负责生产运行的室负责人审核，通过后若准生产环境具备验证条件的，应在准生产环境中运行修改脚本进行验证，并由申请人员验证修改的正确性，验证通过后，由负责生产运行的室负责人审核测试结果，并提交信息技术部门分管生产运行的负责人审批；如无法进行验证操作，应在审核流程中说明，并制定相应的应急预案后提交信息技术部门分管生产运行的负责人审批。",1628
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.1.1正常情况下生产系统数据只允许经过规定的授权后，通过应用系统菜单进行修改。",1606
6,"以修改后的新口令登陆系统，看是否可以正常登入。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.1.1正常情况下生产系统数据只允许经过规定的授权后，通过应用系统菜单进行修改。",1606
6,"以修改后的新口令登陆系统，看是否可以正常登入。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.4.6修改数据操作所用终端不得同时登陆到多个系统打开多个窗口。",1636
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（2）本细则所称生产数据非计划性修改是指由于系统缺陷、操作错误、数据移植错误等原因造成的生产数据错误，但应用系统未提供相应修复功能且需要通过操作系统命令或数据库命令等特殊手段对生产数据直接进行后台修改的操作。",1457
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（6）本细则所称系统重启、数据清理及系统用户变更主要是指操作系统、数据库、中间件、应用系统的重启，数据清理等对生产系统运行状态产生影响的操作，以及操作系统用户的建立、删除、用户权限及口令修改等操作。",2744
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（5）本细则所称生产数据非计划性修改是指由于系统缺陷、操作错误、数据移植错误等原因造成的生产数据错误，但应用系统未提供相应修复功能且需要通过操作系统命令或数据库命令等特殊手段对生产数据直接进行后台修改的操作。",2743
