scid,context,doc_name,doc_context,rcid
8,"将现用工作主机配置导入厂商提供的冷备机。",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""（三）核对设备原厂信息，包括序列号和配置、用户信息、保修级别和日期等内容，检查原厂商提供的设备清单与合同要求是否一致。",68
20,"五、变更的测试验证",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（1）应用系统版本发布应按照我行信息科技应用系统生产版本发布的有关规定执行。提交版本发布的变更方案应包括但不限于以下内容：变更计划开始时间和结束时间，实施步骤、操作分时计划（含变更中各单位需要配合和确认的工作）、变更回退方案（含回退时间点和完成回退的时间）、变更风险评估、变更影响范围、是否会引起服务中断及服务中断时间、工作量估算、变更应急预案、变更前的备份、测试报告、验证方案等。如变更系统包含多个节点，变更方案要包括每个节点的操作。对于有同城、异地灾备部署的系统，变更方案要包括同城、异地灾备环境的变更操作。方案制定人对变更方案的正确性和完整性负责。",2808
20,"五、变更的测试验证",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（3）方案制定人负责组织制定变更方案，变更方案应包括变更计划开始时间和结束时间，实施步骤、操作分时计划（含变更中相关单位需要配合和确认的工作）、变更回退方案（含回退时间点和完成回退的时间）、变更风险评估、变更影响范围、是否会引起服务中断及服务中断时间、工作量估算、变更应急预案、变更前备份、验证方案等，与业务相关的变更还需提交测试报告。如变更系统包含多个节点，变更方案要包括每个节点的操作。对于有同城、异地灾备部署的系统，变更方案要包括同城、异地灾备环境的变更操作。方案制定人对变更方案的正确性和完整性负责。",2814
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""第九条 总行信息技术部门负责机房值班管理的室负责设备进出的审批登记，定期核对设备进出及变更情况，负责设备到货验收等工作。",55
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""到货验收设备开箱由供货商执行，到货验收工作组按照合同要求对设备的包装、外观、规格、数量进行检查；如在开箱检验中发现所交付的设备有短缺、损坏、不合格等与合同规定不符合的情况，供货商需按照合同在规定的时间内予以更换。",62
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""7.9.1已下载生产数据使用期限到期后，数据使用部门负责及时销毁，包括各种形式存在的数据（如复制品、备份文件、压缩包文件、解压文件、导入数据库中的数据等），并对销毁过程中的安全保密工作负责。如因特殊情况需要，已下载生产数据需申请延长期限保存的，需由生产数据使用部门分管行领导审批。",1600
19,"工作主机不涉及操作，生产环境部不受影响。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（1）应用系统版本发布应按照我行信息科技应用系统生产版本发布的有关规定执行。提交版本发布的变更方案应包括但不限于以下内容：变更计划开始时间和结束时间，实施步骤、操作分时计划（含变更中各单位需要配合和确认的工作）、变更回退方案（含回退时间点和完成回退的时间）、变更风险评估、变更影响范围、是否会引起服务中断及服务中断时间、工作量估算、变更应急预案、变更前的备份、测试报告、验证方案等。如变更系统包含多个节点，变更方案要包括每个节点的操作。对于有同城、异地灾备部署的系统，变更方案要包括同城、异地灾备环境的变更操作。方案制定人对变更方案的正确性和完整性负责。",2808
19,"工作主机不涉及操作，生产环境部不受影响。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（3）方案制定人负责组织制定变更方案，变更方案应包括变更计划开始时间和结束时间，实施步骤、操作分时计划（含变更中相关单位需要配合和确认的工作）、变更回退方案（含回退时间点和完成回退的时间）、变更风险评估、变更影响范围、是否会引起服务中断及服务中断时间、工作量估算、变更应急预案、变更前备份、验证方案等，与业务相关的变更还需提交测试报告。如变更系统包含多个节点，变更方案要包括每个节点的操作。对于有同城、异地灾备部署的系统，变更方案要包括同城、异地灾备环境的变更操作。方案制定人对变更方案的正确性和完整性负责。",2814
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（6）数据使用期限到期后，如遇特殊情况需要延期使用的，生产数据使用部门在数据使用期限到期前5个工作日内提出延期申请，经本部门负责人审批同意后可延期使用。",1585
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（5）数据使用期限到期后，对未移交的下载生产数据，不能继续办理移交和使用，生产数据使用部门应在3个工作日内关闭申请。",1584
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（6）数据使用期限到期后，如遇特殊情况需要延期使用的，生产数据使用部门在数据使用期限到期前5个工作日内提出延期申请，经分管行领导审批同意后可延期使用。",1592
